sa2_code_2021,sa2_name_2021,state_name_2021,area_albers_sqkm,median_equivalised_household_income_weekly_2021,median_total_income_excl_gov_allowances_2020,mean_total_income_excl_gov_allowances_2020,gini_total_income_excl_gov_allowances_2020,income_share_top_1pct_2020,income_share_top_5pct_2020,income_share_top_10pct_2020
101021007,Braidwood,New South Wales,3418.3525,952,44246,61745,0.574,15.2,27.2,38.1
101021008,Karabar,New South Wales,6.9825,1220,62946,67345,0.363,4.4,14.3,24
101021009,Queanbeyan,New South Wales,4.7620000000000005,1206,61724,67276,0.366,4.7,14.8,24.4
101021010,Queanbeyan - East,New South Wales,13.0032,1297,64010,71770,0.383,5.5,16.2,26.1
101021012,Queanbeyan West - Jerrabomberra,New South Wales,13.6748,1728,75987,88257,0.411,6.4,17.7,28.1
101021610,Googong,New South Wales,6.9164,1858,,,,,,
101021611,Queanbeyan Surrounds,New South Wales,3047.7057,1636,,,,,,
101031013,Bombala,New South Wales,3990.144,854,46495,54848,0.486,6.5,19,30
101041027,Narooma - Bermagui,New South Wales,252.652,711,32606,42850,0.519,8.8,22.7,34.6
101051539,Goulburn,New South Wales,64.7865,934,52026,59345,0.417,5.5,16.3,26.7
101051540,Goulburn Surrounds,New South Wales,9035.1222,951,45692,54741,0.514,6.7,19.7,31.3
101031014,Cooma,New South Wales,103.6371,926,48615,56939,0.436,5.8,17.4,28.2
101031015,Cooma Surrounds,New South Wales,6251.0158,987,46044,54552,0.524,6.9,20.4,32
101031016,Jindabyne - Berridale,New South Wales,3939.7888,1174,45128,56759,0.481,8.9,21.4,32.6
101041017,Batemans Bay,New South Wales,63.707300000000004,744,38705,45174,0.466,6,18.7,29.9
101041018,Batemans Bay - South,New South Wales,30.5948,808,40626,50742,0.488,8.6,21.8,33
101041019,Bega - Tathra,New South Wales,183.8984,842,46009,53560,0.456,6.7,18.5,29.3
101041020,Bega-Eden Hinterland,New South Wales,4709.8265,769,36508,44504,0.53,6.6,19.9,32.3
102011033,Kariong,New South Wales,8.3063,1171,54900,65283,0.416,6.8,17.4,27.7
101041021,Broulee - Tomakin,New South Wales,24.2329,925,42679,54292,0.481,6.3,19.9,31.4
101041022,Deua - Wadbilliga,New South Wales,2781.9988,575,46774,65942,,,,
101041023,Eden,New South Wales,94.8138,685,39972,46640,0.456,4.4,16.4,28.1
101041024,Eurobodalla Hinterland,New South Wales,1460.0118,835,37334,46406,0.539,8.2,21.4,33.4
101041025,Merimbula - Tura Beach,New South Wales,97.3395,847,41436,50158,0.472,6.1,18.7,30.1
101041026,Moruya - Tuross Head,New South Wales,165.4118,774,39491,46447,0.471,6.1,18.6,30.1
101061541,Yass,New South Wales,99.7341,1091,56336,62684,0.429,5.1,16,26.5
101061542,Yass Surrounds,New South Wales,5680.5696,1492,61165,75493,0.487,7.8,20.7,31.9
